"Tiempo","Series 1"
"2020-11-21 03:50:23",726
"2020-11-21 03:50:24",727
"2020-11-21 03:50:25",727
"2020-11-21 03:50:26",727
"2020-11-21 03:50:27",725
"2020-11-21 03:50:28",726
"2020-11-21 03:50:29",727
"2020-11-21 03:50:30",727
"2020-11-21 03:50:31",727
"2020-11-21 03:50:32",727
"2020-11-21 03:50:33",727
"2020-11-21 03:50:34",727
"2020-11-21 03:50:35",727
"2020-11-21 03:50:36",726
"2020-11-21 03:50:37",726
"2020-11-21 03:50:38",726
"2020-11-21 03:50:39",725
"2020-11-21 03:50:40",726
"2020-11-21 03:50:41",726
"2020-11-21 03:50:42",726
"2020-11-21 03:50:43",726
"2020-11-21 03:50:44",726
"2020-11-21 03:50:45",726
"2020-11-21 03:50:46",726
"2020-11-21 03:50:47",726
"2020-11-21 03:50:48",726
"2020-11-21 03:50:49",726
"2020-11-21 03:50:50",726
"2020-11-21 03:50:51",726
"2020-11-21 03:50:52",725
"2020-11-21 03:50:53",725
"2020-11-21 03:50:54",726
"2020-11-21 03:50:55",726
"2020-11-21 03:50:56",725
"2020-11-21 03:50:57",726
"2020-11-21 03:50:58",726
"2020-11-21 03:50:59",722
"2020-11-21 03:51:00",721
"2020-11-21 03:51:01",727
"2020-11-21 03:51:02",727
"2020-11-21 03:51:03",725
"2020-11-21 03:51:04",725
"2020-11-21 03:51:05",728
"2020-11-21 03:51:06",728
"2020-11-21 03:51:07",728
"2020-11-21 03:51:08",729
"2020-11-21 03:51:09",729
"2020-11-21 03:51:10",727
"2020-11-21 03:51:11",728
"2020-11-21 03:51:12",728
"2020-11-21 03:51:13",729
"2020-11-21 03:51:14",725
"2020-11-21 03:51:15",728
"2020-11-21 03:51:16",728
"2020-11-21 03:51:17",729
"2020-11-21 03:51:18",729
"2020-11-21 03:51:19",729
"2020-11-21 03:51:20",729
"2020-11-21 03:51:21",727
"2020-11-21 03:51:22",728
"2020-11-21 03:51:23",729
"2020-11-21 03:51:24",729
"2020-11-21 03:51:25",729
"2020-11-21 03:51:26",729
"2020-11-21 03:51:27",729
"2020-11-21 03:51:28",729
"2020-11-21 03:51:29",726
"2020-11-21 03:51:30",728
"2020-11-21 03:51:31",728
"2020-11-21 03:51:32",728
"2020-11-21 03:51:33",728
"2020-11-21 03:51:34",729
"2020-11-21 03:51:35",729
"2020-11-21 03:51:36",729
"2020-11-21 03:51:37",728
"2020-11-21 03:51:38",729
"2020-11-21 03:51:39",729
"2020-11-21 03:51:40",728
"2020-11-21 03:51:41",728
"2020-11-21 03:51:42",728
"2020-11-21 03:51:43",729
"2020-11-21 03:51:44",725
"2020-11-21 03:51:45",726
"2020-11-21 03:51:46",727
"2020-11-21 03:51:47",729
"2020-11-21 03:51:48",729
"2020-11-21 03:51:49",729
"2020-11-21 03:51:50",729
"2020-11-21 03:51:51",728
"2020-11-21 03:51:52",729
"2020-11-21 03:51:53",729
"2020-11-21 03:51:54",729
"2020-11-21 03:51:55",729
"2020-11-21 03:51:56",729
"2020-11-21 03:51:57",727
"2020-11-21 03:51:58",729
"2020-11-21 03:51:59",729
"2020-11-21 03:52:00",729
"2020-11-21 03:52:01",729
"2020-11-21 03:52:02",729
"2020-11-21 03:52:03",729
"2020-11-21 03:52:04",729
"2020-11-21 03:52:05",729
"2020-11-21 03:52:06",729
"2020-11-21 03:52:07",724
"2020-11-21 03:52:08",727
"2020-11-21 03:52:09",726
"2020-11-21 03:52:10",727
"2020-11-21 03:52:11",727
"2020-11-21 03:52:12",728
"2020-11-21 03:52:13",728
"2020-11-21 03:52:14",722
"2020-11-21 03:52:15",727
"2020-11-21 03:52:16",727
"2020-11-21 03:52:17",727
"2020-11-21 03:52:18",727
"2020-11-21 03:52:19",727
"2020-11-21 03:52:20",728
"2020-11-21 03:52:21",728
"2020-11-21 03:52:22",726
"2020-11-21 03:52:23",728
"2020-11-21 03:52:24",727
"2020-11-21 03:52:25",727
"2020-11-21 03:52:26",726
"2020-11-21 03:52:27",725
"2020-11-21 03:52:28",712
"2020-11-21 03:52:29",722
"2020-11-21 03:52:30",726
"2020-11-21 03:52:31",726
"2020-11-21 03:52:32",726
"2020-11-21 03:52:33",726
"2020-11-21 03:52:34",726
"2020-11-21 03:52:35",727
"2020-11-21 03:52:36",727
"2020-11-21 03:52:37",727
"2020-11-21 03:52:38",728
"2020-11-21 03:52:39",728
"2020-11-21 03:52:40",728
"2020-11-21 03:52:41",727
"2020-11-21 03:52:42",728
"2020-11-21 03:52:43",728
"2020-11-21 03:52:44",727
"2020-11-21 03:52:45",728
"2020-11-21 03:52:46",729
"2020-11-21 03:52:47",729
"2020-11-21 03:52:48",729
"2020-11-21 03:52:49",729
"2020-11-21 03:52:50",729
"2020-11-21 03:52:51",729
"2020-11-21 03:52:52",727
"2020-11-21 03:52:53",728
"2020-11-21 03:52:54",729
"2020-11-21 03:52:55",729
"2020-11-21 03:52:56",729
"2020-11-21 03:52:57",729
"2020-11-21 03:52:58",729
"2020-11-21 03:52:59",729
"2020-11-21 03:53:00",729
"2020-11-21 03:53:01",729
"2020-11-21 03:53:02",729
"2020-11-21 03:53:03",729
"2020-11-21 03:53:04",729
"2020-11-21 03:53:05",729
"2020-11-21 03:53:06",729
"2020-11-21 03:53:07",729
"2020-11-21 03:53:08",729
"2020-11-21 03:53:09",729
"2020-11-21 03:53:10",730
"2020-11-21 03:53:11",729
"2020-11-21 03:53:12",730
"2020-11-21 03:53:13",729
"2020-11-21 03:53:14",722
"2020-11-21 03:53:15",728
"2020-11-21 03:53:16",729
"2020-11-21 03:53:17",729
"2020-11-21 03:53:18",729
"2020-11-21 03:53:19",729
"2020-11-21 03:53:20",729
"2020-11-21 03:53:21",729
"2020-11-21 03:53:22",729
"2020-11-21 03:53:23",729
"2020-11-21 03:53:24",729
"2020-11-21 03:53:25",729
"2020-11-21 03:53:26",729
"2020-11-21 03:53:27",729
"2020-11-21 03:53:28",729
"2020-11-21 03:53:29",729
"2020-11-21 03:53:30",729
"2020-11-21 03:53:31",728
