"Tiempo","Series 1"
"2020-11-18 23:09:10",729
"2020-11-18 23:09:12",727
"2020-11-18 23:09:12",730
"2020-11-18 23:09:13",730
"2020-11-18 23:09:14",730
"2020-11-18 23:09:15",730
"2020-11-18 23:09:16",732
"2020-11-18 23:09:17",732
"2020-11-18 23:09:18",732
"2020-11-18 23:09:19",732
"2020-11-18 23:09:20",732
"2020-11-18 23:09:21",730
"2020-11-18 23:09:22",730
"2020-11-18 23:09:23",729
"2020-11-18 23:09:24",729
"2020-11-18 23:09:25",725
"2020-11-18 23:09:26",726
"2020-11-18 23:09:27",726
"2020-11-18 23:09:28",727
"2020-11-18 23:09:29",727
"2020-11-18 23:09:30",727
"2020-11-18 23:09:31",727
"2020-11-18 23:09:32",725
"2020-11-18 23:09:33",726
"2020-11-18 23:09:34",728
"2020-11-18 23:09:35",727
"2020-11-18 23:09:36",728
"2020-11-18 23:09:37",728
"2020-11-18 23:09:38",728
"2020-11-18 23:09:39",728
"2020-11-18 23:09:40",728
"2020-11-18 23:09:41",728
"2020-11-18 23:09:42",728
"2020-11-18 23:09:43",728
"2020-11-18 23:09:44",728
"2020-11-18 23:09:45",728
"2020-11-18 23:09:46",728
"2020-11-18 23:09:47",728
"2020-11-18 23:09:48",728
"2020-11-18 23:09:49",729
"2020-11-18 23:09:50",729
"2020-11-18 23:09:51",729
"2020-11-18 23:09:52",728
"2020-11-18 23:09:53",729
"2020-11-18 23:09:54",729
"2020-11-18 23:09:55",729
"2020-11-18 23:09:56",728
"2020-11-18 23:09:57",727
"2020-11-18 23:09:58",728
"2020-11-18 23:09:59",726
"2020-11-18 23:10:00",728
"2020-11-18 23:10:01",729
"2020-11-18 23:10:02",728
"2020-11-18 23:10:03",729
"2020-11-18 23:10:04",729
"2020-11-18 23:10:05",729
"2020-11-18 23:10:06",729
"2020-11-18 23:10:07",729
"2020-11-18 23:10:08",729
"2020-11-18 23:10:09",729
"2020-11-18 23:10:10",728
"2020-11-18 23:10:11",729
"2020-11-18 23:10:12",729
"2020-11-18 23:10:13",728
"2020-11-18 23:10:14",728
"2020-11-18 23:10:15",729
"2020-11-18 23:10:16",728
"2020-11-18 23:10:17",721
"2020-11-18 23:10:18",725
"2020-11-18 23:10:19",728
"2020-11-18 23:10:20",729
"2020-11-18 23:10:21",729
"2020-11-18 23:10:22",729
"2020-11-18 23:10:23",727
"2020-11-18 23:10:24",728
"2020-11-18 23:10:25",729
"2020-11-18 23:10:26",729
"2020-11-18 23:10:27",728
"2020-11-18 23:10:28",729
"2020-11-18 23:10:29",729
"2020-11-18 23:10:30",729
"2020-11-18 23:10:31",729
"2020-11-18 23:10:32",729
"2020-11-18 23:10:33",729
"2020-11-18 23:10:34",729
"2020-11-18 23:10:35",729
"2020-11-18 23:10:36",729
"2020-11-18 23:10:37",729
"2020-11-18 23:10:38",729
"2020-11-18 23:10:39",709
"2020-11-18 23:10:40",726
"2020-11-18 23:10:41",728
"2020-11-18 23:10:42",729
