"Tiempo","Series 1"
"2020-12-01 00:08:23",835
"2020-12-01 00:08:24",835
"2020-12-01 00:08:25",835
"2020-12-01 00:08:26",835
"2020-12-01 00:08:27",835
"2020-12-01 00:08:28",835
"2020-12-01 00:08:29",835
"2020-12-01 00:08:30",835
"2020-12-01 00:08:31",835
"2020-12-01 00:08:32",835
"2020-12-01 00:08:33",835
"2020-12-01 00:08:34",835
"2020-12-01 00:08:35",835
"2020-12-01 00:08:36",835
"2020-12-01 00:08:37",835
"2020-12-01 00:08:38",834
"2020-12-01 00:08:39",835
"2020-12-01 00:08:40",835
"2020-12-01 00:08:41",835
"2020-12-01 00:08:42",835
"2020-12-01 00:08:43",835
"2020-12-01 00:08:44",835
"2020-12-01 00:08:45",835
"2020-12-01 00:08:46",835
"2020-12-01 00:08:47",835
"2020-12-01 00:08:48",835
"2020-12-01 00:08:49",835
"2020-12-01 00:08:50",835
"2020-12-01 00:08:51",835
"2020-12-01 00:08:52",835
"2020-12-01 00:08:53",835
"2020-12-01 00:08:54",835
"2020-12-01 00:08:55",835
"2020-12-01 00:08:56",834
"2020-12-01 00:08:57",835
"2020-12-01 00:08:58",835
"2020-12-01 00:08:59",834
"2020-12-01 00:09:00",835
"2020-12-01 00:09:01",835
"2020-12-01 00:09:02",835
"2020-12-01 00:09:03",835
"2020-12-01 00:09:04",835
"2020-12-01 00:09:05",835
"2020-12-01 00:09:06",835
"2020-12-01 00:09:07",835
"2020-12-01 00:09:08",835
"2020-12-01 00:09:09",834
"2020-12-01 00:09:10",835
"2020-12-01 00:09:11",833
"2020-12-01 00:09:12",834
"2020-12-01 00:09:13",834
"2020-12-01 00:09:14",834
"2020-12-01 00:09:15",835
"2020-12-01 00:09:16",834
"2020-12-01 00:09:17",834
"2020-12-01 00:09:18",835
"2020-12-01 00:09:19",834
"2020-12-01 00:09:20",833
"2020-12-01 00:09:21",834
"2020-12-01 00:09:22",834
"2020-12-01 00:09:23",834
"2020-12-01 00:09:24",834
"2020-12-01 00:09:25",834
"2020-12-01 00:09:26",833
"2020-12-01 00:09:27",834
"2020-12-01 00:09:28",834
"2020-12-01 00:09:29",834
"2020-12-01 00:09:30",834
"2020-12-01 00:09:31",834
"2020-12-01 00:09:32",834
"2020-12-01 00:09:33",834
"2020-12-01 00:09:34",831
"2020-12-01 00:09:35",834
"2020-12-01 00:09:36",834
"2020-12-01 00:09:37",834
"2020-12-01 00:09:38",834
"2020-12-01 00:09:39",834
"2020-12-01 00:09:40",834
"2020-12-01 00:09:41",834
"2020-12-01 00:09:42",834
"2020-12-01 00:09:43",833
"2020-12-01 00:09:44",832
"2020-12-01 00:09:45",831
"2020-12-01 00:09:46",831
"2020-12-01 00:09:47",831
"2020-12-01 00:09:48",831
"2020-12-01 00:09:49",825
"2020-12-01 00:09:50",826
"2020-12-01 00:09:51",828
"2020-12-01 00:09:52",829
"2020-12-01 00:09:53",829
"2020-12-01 00:09:54",829
"2020-12-01 00:09:55",829
"2020-12-01 00:09:56",829
"2020-12-01 00:09:57",825
"2020-12-01 00:09:58",826
"2020-12-01 00:09:59",826
"2020-12-01 00:10:00",826
"2020-12-01 00:10:01",826
"2020-12-01 00:10:02",829
"2020-12-01 00:10:03",829
"2020-12-01 00:10:04",828
"2020-12-01 00:10:05",828
"2020-12-01 00:10:06",825
"2020-12-01 00:10:07",826
"2020-12-01 00:10:08",828
"2020-12-01 00:10:09",826
"2020-12-01 00:10:10",828
"2020-12-01 00:10:11",826
"2020-12-01 00:10:12",826
"2020-12-01 00:10:13",826
"2020-12-01 00:10:14",825
"2020-12-01 00:10:15",826
"2020-12-01 00:10:16",828
"2020-12-01 00:10:17",828
"2020-12-01 00:10:18",826
"2020-12-01 00:10:19",829
"2020-12-01 00:10:20",828
"2020-12-01 00:10:21",828
"2020-12-01 00:10:22",829
"2020-12-01 00:10:23",828
"2020-12-01 00:10:24",828
"2020-12-01 00:10:25",828
"2020-12-01 00:10:26",828
"2020-12-01 00:10:27",825
"2020-12-01 00:10:28",825
"2020-12-01 00:10:29",826
"2020-12-01 00:10:30",826
"2020-12-01 00:10:31",826
"2020-12-01 00:10:32",828
"2020-12-01 00:10:33",828
"2020-12-01 00:10:34",828
"2020-12-01 00:10:35",828
"2020-12-01 00:10:36",828
"2020-12-01 00:10:37",826
"2020-12-01 00:10:38",828
"2020-12-01 00:10:39",826
"2020-12-01 00:10:40",828
"2020-12-01 00:10:41",829
"2020-12-01 00:10:42",828
"2020-12-01 00:10:43",828
"2020-12-01 00:10:44",826
"2020-12-01 00:10:45",829
"2020-12-01 00:10:46",829
"2020-12-01 00:10:47",828
"2020-12-01 00:10:48",826
"2020-12-01 00:10:49",825
"2020-12-01 00:10:50",826
"2020-12-01 00:10:51",824
"2020-12-01 00:10:52",826
"2020-12-01 00:10:53",824
"2020-12-01 00:10:54",826
"2020-12-01 00:10:55",828
"2020-12-01 00:10:56",826
"2020-12-01 00:10:57",829
"2020-12-01 00:10:58",829
"2020-12-01 00:10:59",823
"2020-12-01 00:11:00",826
"2020-12-01 00:11:01",826
"2020-12-01 00:11:02",829
"2020-12-01 00:11:03",829
"2020-12-01 00:11:04",829
"2020-12-01 00:11:05",828
"2020-12-01 00:11:06",828
"2020-12-01 00:11:07",828
"2020-12-01 00:11:08",829
"2020-12-01 00:11:09",826
"2020-12-01 00:11:10",828
"2020-12-01 00:11:11",829
"2020-12-01 00:11:12",828
"2020-12-01 00:11:13",826
"2020-12-01 00:11:14",828
"2020-12-01 00:11:15",828
"2020-12-01 00:11:16",829
"2020-12-01 00:11:17",829
"2020-12-01 00:11:18",829
"2020-12-01 00:11:19",825
"2020-12-01 00:11:20",826
"2020-12-01 00:11:21",828
"2020-12-01 00:11:22",828
"2020-12-01 00:11:23",828
"2020-12-01 00:11:24",828
"2020-12-01 00:11:25",828
"2020-12-01 00:11:26",826
"2020-12-01 00:11:27",829
"2020-12-01 00:11:28",828
"2020-12-01 00:11:29",828
"2020-12-01 00:11:30",825
"2020-12-01 00:11:31",826
"2020-12-01 00:11:32",826
"2020-12-01 00:11:33",826
"2020-12-01 00:11:34",822
"2020-12-01 00:11:35",826
"2020-12-01 00:11:36",828
"2020-12-01 00:11:37",826
"2020-12-01 00:11:38",826
"2020-12-01 00:11:39",826
"2020-12-01 00:11:40",826
"2020-12-01 00:11:41",828
"2020-12-01 00:11:42",828
"2020-12-01 00:11:43",828
"2020-12-01 00:11:44",828
"2020-12-01 00:11:45",826
"2020-12-01 00:11:46",829
"2020-12-01 00:11:47",826
